V1, V2, V3
9888, 9872, 26378
9872, 26362, 26378
9872, 9856, 26362
9856, 26346, 26362
9856, 9840, 26346
9840, 26330, 26346
9840, 9824, 26330
9824, 26314, 26330
9824, 9808, 26314
26748, 10272, 26731
10272, 10256, 26731
10256, 26715, 26731
10256, 10240, 26715
10240, 26699, 26715
10240, 10224, 26699
10224, 26683, 26699
10224, 10208, 26683
10208, 26667, 26683
10208, 10192, 26667
10192, 26651, 26667
10192, 10176, 26651
10176, 26635, 26651
10176, 10160, 26635
10160, 26619, 26635
10160, 10144, 26619
10144, 26603, 26619
10144, 10128, 26603
10128, 26587, 26603
10128, 10112, 26587
10112, 26571, 26587
10112, 10096, 26571
10096, 26555, 26571
10096, 10080, 26555
10080, 26539, 26555
10080, 10064, 26539
10064, 26523, 26539
10064, 10048, 26523
26989, 10544, 26972
10544, 10528, 26972
10528, 10512, 26972
10512, 26956, 26972
10512, 10496, 26956
10496, 26940, 26956
10496, 10480, 26940
10480, 26924, 26940
10480, 10464, 26924
10464, 26908, 26924
10464, 10448, 26908
10448, 26892, 26908
10448, 10432, 26892
10432, 26876, 26892
10432, 10416, 26876
10416, 26860, 26876
10416, 10400, 26860
10400, 26844, 26860
10400, 10384, 26844
10384, 26828, 26844
10384, 10368, 26828
10368, 26812, 26828
10368, 10352, 26812
10352, 26796, 26812
10352, 10336, 26796
10336, 26780, 26796
10336, 10320, 26780
10320, 26764, 26780
10320, 10304, 26764
10304, 26748, 26764
10304, 10288, 26748
27294, 10864, 27277
10864, 10848, 27277
10848, 27261, 27277
10848, 10832, 27261
10832, 27245, 27261
10832, 10816, 27245
10816, 27229, 27245
10816, 10800, 27229
10800, 27213, 27229
10800, 10784, 27213
10784, 27197, 27213
10784, 10768, 27197
10768, 27181, 27197
10768, 10752, 27181
10752, 27165, 27181
10752, 10736, 27165
10736, 27149, 27165
10736, 10720, 27149
10720, 27133, 27149
10720, 10704, 27133
10704, 27117, 27133
10704, 10688, 27117
10688, 27101, 27117
10688, 10672, 27101
10672, 27085, 27101
10672, 10656, 27085
10656, 27069, 27085
10656, 10640, 27069
10640, 27053, 27069
10640, 10624, 27053
10624, 27037, 27053
10624, 10608, 27037
10608, 27021, 27037
10608, 10592, 27021
10592, 27005, 27021
10592, 10576, 27005
10576, 26989, 27005
10576, 10560, 26989
27695, 11280, 27678
11280, 11264, 27678
11264, 27662, 27678
11264, 11248, 27662
11248, 27646, 27662
11248, 11232, 27646
11232, 27630, 27646
11232, 11216, 27630
11216, 27614, 27630
11216, 11200, 27614
11200, 27598, 27614
11200, 11184, 27598
11184, 27582, 27598
11184, 11168, 27582
11168, 27566, 27582
11168, 11152, 27566
11152, 27550, 27566
11152, 11136, 27550
11136, 27534, 27550
11136, 11120, 27534
11120, 27518, 27534
11120, 11104, 27518
